roc_auc,pr_auc,brier,log_loss,precision,recall,f1,tn,fp,fn,tp,n,prevalence,predicts_both,year,threshold,model,split
1.0,1.0,0.1788622066875049,0.5363947274102026,1.0,0.6,0.75,3,0,2,3,8,0.625,1,2023,0.40473994695483567,2_ElasticNet_Logistic,test
0.6666666666666667,0.8972222222222223,0.19773939649285494,0.5759974712387339,0.8333333333333334,0.8333333333333334,0.8333333333333334,1,1,1,5,8,0.75,1,2024,0.40541549997757054,2_ElasticNet_Logistic,test
1.0,1.0,0.08091961324017041,0.32396690842378983,1.0,1.0,1.0,2,0,0,6,8,0.75,1,2025,0.5296570329197026,2_ElasticNet_Logistic,test
1.0,1.0,0.042602529921103485,0.21948364615125718,1.0,1.0,1.0,6,0,0,10,16,0.625,1,2019,,2_ElasticNet_Logistic,train
1.0,1.0,0.08934574278433816,0.34024150342422316,1.0,1.0,1.0,13,0,0,11,24,0.4583333333333333,1,2020,,2_ElasticNet_Logistic,train
0.9878542510121459,0.9821780783319245,0.10250525110281487,0.3644910367018518,0.9285714285714286,1.0,0.9629629629629629,18,1,0,13,32,0.40625,1,2021,,2_ElasticNet_Logistic,train
0.9570707070707071,0.9484876406703032,0.12152481891818853,0.4075388305640133,0.8571428571428571,1.0,0.9230769230769231,19,3,0,18,40,0.45,1,2022,,2_ElasticNet_Logistic,train
0.9339285714285714,0.8994898081138745,0.13142303883964654,0.4280321730690749,0.8260869565217391,0.95,0.8837209302325582,24,4,1,19,48,0.4166666666666667,1,2023,,2_ElasticNet_Logistic,train
0.943225806451613,0.9135069890853575,0.13363733924195975,0.43603929789576623,0.8571428571428571,0.96,0.9056603773584906,27,4,1,24,56,0.44642857142857145,1,2024,,2_ElasticNet_Logistic,train
0.9442815249266863,0.9118229207959563,0.1347034440275653,0.4419766247816568,0.9310344827586207,0.8709677419354839,0.9,31,2,4,27,64,0.484375,1,2025,,2_ElasticNet_Logistic,train
0.6428571428571428,0.16666666666666666,0.6328123750000088,10.109770066234397,0.16666666666666666,1.0,0.2857142857142857,2,5,0,1,8,0.125,1,2019,0.7,3_DecisionTree,test
0.5416666666666667,0.30952380952380953,0.3975693944444495,4.426780666664664,0.25,0.5,0.3333333333333333,3,3,1,1,8,0.25,1,2020,0.6666666666666666,3_DecisionTree,test
0.6333333333333334,0.7,0.37499992500001,6.044285931675168,0.75,0.6,0.6666666666666666,2,1,2,3,8,0.625,1,2021,0.7,3_DecisionTree,test
0.7083333333333334,0.45,0.30198803744261044,2.5035459029842526,0.4,1.0,0.5714285714285714,3,3,0,2,8,0.25,1,2022,0.6666666666666666,3_DecisionTree,test
0.6333333333333334,0.7050000000000001,0.3012775260204107,2.5611793721846636,0.8,0.8,0.8,2,1,1,4,8,0.625,1,2023,0.5,3_DecisionTree,test
0.20833333333333331,0.6666666666666666,0.667534647222226,6.863558065982412,0.5,0.16666666666666666,0.25,1,1,5,1,8,0.75,1,2024,0.5,3_DecisionTree,test
0.7916666666666667,0.9027777777777778,0.20611111111111485,0.5626764064621567,1.0,0.5,0.6666666666666666,2,0,3,3,8,0.75,1,2025,0.6666666666666666,3_DecisionTree,test
0.975,0.9769230769230769,0.046875000000007494,0.14058386115470578,1.0,0.9,0.9473684210526315,6,0,1,9,16,0.625,1,2019,,3_DecisionTree,train
0.9475524475524475,0.9287535993418347,0.0868055555555614,0.25285112451017416,0.9,0.8181818181818182,0.8571428571428571,12,1,2,9,24,0.4583333333333333,1,2020,,3_DecisionTree,train
0.98582995951417,0.9678254437869822,0.04427083333334114,0.12996517447999362,0.9230769230769231,0.9230769230769231,0.9230769230769231,18,1,1,12,32,0.40625,1,2021,,3_DecisionTree,train
0.9267676767676768,0.9117283950617283,0.08212121212121462,0.2778387441064667,0.8888888888888888,0.8888888888888888,0.8888888888888888,20,2,2,16,40,0.45,1,2022,,3_DecisionTree,train
0.9160714285714284,0.888348588863463,0.09488095238095488,0.30254543644495474,0.782608695652174,0.9,0.8372093023255814,23,5,2,18,48,0.4166666666666667,1,2023,,3_DecisionTree,train
0.9490322580645161,0.9142278151955571,0.08705357142857607,0.26808164515099886,0.8214285714285714,0.92,0.8679245283018868,26,5,2,23,56,0.44642857142857145,1,2024,,3_DecisionTree,train
0.9051808406647117,0.9042141049968375,0.10208333333333662,0.31906086393443234,0.9583333333333334,0.7419354838709677,0.8363636363636363,32,1,8,23,64,0.484375,1,2025,,3_DecisionTree,train
1.0,1.0,0.2589649993587961,0.7110464150286258,0.5,1.0,0.6666666666666666,6,1,0,1,8,0.125,1,2019,0.6113795093795094,4_RandomForest,test
0.8333333333333334,0.5833333333333333,0.22860103390111952,0.6502223588004584,0.4,1.0,0.5714285714285714,3,3,0,2,8,0.25,1,2020,0.49005644355644357,4_RandomForest,test
0.8,0.8766666666666667,0.20594887927017752,0.601413471837924,0.8,0.8,0.8,2,1,1,4,8,0.625,1,2021,0.46584606363708536,4_RandomForest,test
0.7500000000000001,0.5,0.19203920762967755,0.5725325057004667,0.5,1.0,0.6666666666666666,4,2,0,2,8,0.25,1,2022,0.4899917844682552,4_RandomForest,test
1.0,1.0,0.23333036467914542,0.6519619231190741,1.0,0.6,0.75,3,0,2,3,8,0.625,1,2023,0.431144648480368,4_RandomForest,test
0.41666666666666663,0.7801587301587302,0.29396810014385594,0.7879016309693689,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,2,2,4,8,0.75,1,2024,0.41044894645349933,4_RandomForest,test
1.0,1.0,0.14299876551940421,0.4703722875202087,1.0,1.0,1.0,2,0,0,6,8,0.75,1,2025,0.4578867492798645,4_RandomForest,test
1.0,1.0,0.10654063341210762,0.3889304168344092,1.0,1.0,1.0,6,0,0,10,16,0.625,1,2019,,4_RandomForest,train
1.0,1.0,0.11018551225012062,0.3939190940791828,1.0,1.0,1.0,13,0,0,11,24,0.4583333333333333,1,2020,,4_RandomForest,train
1.0,1.0,0.11894903622269412,0.4105212324143831,1.0,1.0,1.0,19,0,0,13,32,0.40625,1,2021,,4_RandomForest,train
0.994949494949495,0.9939896036387265,0.1142096949646924,0.40121626550244577,0.9473684210526315,1.0,0.972972972972973,21,1,0,18,40,0.45,1,2022,,4_RandomForest,train
0.9767857142857144,0.9656582409678385,0.12719643397939884,0.4288895473830378,0.9090909090909091,1.0,0.9523809523809523,26,2,0,20,48,0.4166666666666667,1,2023,,4_RandomForest,train
0.9806451612903226,0.9739846707407348,0.13479025396414224,0.4472467754136214,0.9259259259259259,1.0,0.9615384615384616,29,2,0,25,56,0.44642857142857145,1,2024,,4_RandomForest,train
